day,month,new_cases,new_deaths
31,12,0.0,0.0
1,1,0.0,0.0
2,1,0.0,0.0
3,1,0.0,0.0
4,1,0.0,0.0
5,1,0.0,0.0
6,1,0.0,0.0
7,1,0.0,0.0
8,1,0.0,0.0
9,1,0.0,0.0
10,1,0.0,0.0
11,1,0.0,0.0
12,1,0.0,0.0
13,1,0.0,0.0
14,1,0.0,0.0
15,1,0.0,0.0
16,1,0.0,0.0
17,1,0.0,0.0
18,1,0.0,0.0
19,1,0.0,0.0
20,1,0.0,0.0
21,1,0.0,0.0
22,1,0.0,0.0
23,1,0.0,0.0
24,1,0.0,0.0
25,1,0.0,0.0
26,1,0.0,0.0
27,1,0.0,0.0
28,1,0.0,0.0
29,1,0.0,0.0
30,1,0.0,0.0
31,1,3.0,0.0
1,2,0.0,0.0
2,2,0.0,0.0
3,2,0.0,0.0
4,2,0.0,0.0
5,2,0.0,0.0
6,2,0.0,0.0
7,2,0.0,0.0
8,2,0.0,0.0
9,2,0.0,0.0
10,2,0.0,0.0
11,2,0.0,0.0
12,2,0.0,0.0
13,2,0.0,0.0
14,2,0.0,0.0
15,2,0.0,0.0
16,2,0.0,0.0
17,2,0.0,0.0
18,2,0.0,0.0
19,2,0.0,0.0
20,2,0.0,0.0
21,2,0.0,0.0
22,2,14.0,0.0
23,2,62.0,2.0
24,2,53.0,0.0
25,2,97.0,4.0
26,2,93.0,5.0
27,2,78.0,1.0
28,2,250.0,5.0
29,2,238.0,4.0
1,3,240.0,8.0
2,3,561.0,6.0
3,3,347.0,17.0
4,3,466.0,28.0
5,3,587.0,27.0
6,3,769.0,41.0
7,3,778.0,49.0
8,3,1247.0,36.0
9,3,1492.0,133.0
10,3,1797.0,98.0
11,3,977.0,167.0
12,3,2313.0,196.0
13,3,2651.0,189.0
14,3,2547.0,252.0
15,3,3497.0,173.0
16,3,2823.0,370.0
17,3,4000.0,347.0
18,3,3526.0,347.0
19,3,4207.0,473.0
20,3,5322.0,429.0
21,3,5986.0,625.0
22,3,6557.0,795.0
23,3,5560.0,649.0
24,3,4789.0,601.0
25,3,5249.0,743.0
26,3,5210.0,685.0
27,3,6153.0,660.0
28,3,5959.0,971.0
29,3,5974.0,887.0
30,3,5217.0,758.0
31,3,4050.0,810.0
1,4,4053.0,839.0
2,4,4782.0,727.0
3,4,4668.0,760.0
4,4,4585.0,764.0
5,4,4805.0,681.0
6,4,4316.0,527.0
7,4,3599.0,636.0
8,4,3039.0,604.0
9,4,3836.0,540.0
10,4,4204.0,612.0
11,4,3951.0,570.0
12,4,4694.0,619.0
13,4,4092.0,431.0
14,4,3153.0,564.0
15,4,2972.0,604.0
16,4,2667.0,578.0
17,4,3786.0,525.0
18,4,3493.0,575.0
19,4,3491.0,480.0
20,4,3047.0,433.0
21,4,2256.0,454.0
22,4,2729.0,534.0
23,4,3370.0,437.0
24,4,2646.0,464.0
25,4,3021.0,420.0
26,4,2357.0,415.0
27,4,2324.0,260.0
28,4,1739.0,333.0
29,4,2091.0,382.0
30,4,2086.0,323.0
1,5,1872.0,285.0
2,5,1965.0,269.0
3,5,1900.0,474.0
4,5,1389.0,174.0
5,5,1221.0,195.0
6,5,1075.0,236.0
7,5,1444.0,369.0
8,5,1401.0,274.0
9,5,1327.0,243.0
10,5,1083.0,194.0
11,5,802.0,165.0
12,5,744.0,179.0
13,5,1402.0,172.0
14,5,888.0,195.0
15,5,992.0,262.0
16,5,789.0,242.0
17,5,875.0,153.0
18,5,675.0,145.0
19,5,451.0,99.0
20,5,813.0,162.0
21,5,665.0,161.0
22,5,642.0,156.0
23,5,652.0,130.0
24,5,669.0,119.0
25,5,531.0,50.0
26,5,300.0,92.0
27,5,397.0,78.0
28,5,584.0,117.0
29,5,593.0,70.0
30,5,516.0,87.0
31,5,416.0,111.0
1,6,355.0,75.0
2,6,178.0,60.0
3,6,318.0,55.0
4,6,321.0,71.0
5,6,177.0,88.0
6,6,518.0,85.0
7,6,270.0,72.0
8,6,197.0,53.0
9,6,280.0,65.0
10,6,283.0,79.0
11,6,202.0,71.0
12,6,379.0,53.0
13,6,163.0,56.0
14,6,346.0,78.0
15,6,338.0,44.0
16,6,301.0,26.0
17,6,210.0,34.0
18,6,328.0,43.0
19,6,331.0,66.0
20,6,297.5,47.0
21,6,264.0,49.0
22,6,224.0,24.0
23,6,221.0,23.0
24,6,113.0,18.0
25,6,577.0,-31.0
26,6,296.0,34.0
27,6,255.0,30.0
28,6,175.0,8.0
29,6,174.0,22.0
30,6,126.0,6.0
1,7,142.0,23.0
2,7,182.0,21.0
3,7,201.0,30.0
4,7,223.0,15.0
5,7,235.0,21.0
6,7,192.0,7.0
7,7,208.0,8.0
8,7,137.0,30.0
9,7,193.0,15.0
10,7,214.0,12.0
11,7,276.0,12.0
12,7,188.0,7.0
13,7,234.0,9.0
14,7,169.0,13.0
15,7,114.0,17.0
16,7,162.0,13.0
17,7,230.0,20.0
18,7,231.0,11.0
19,7,249.0,14.0
20,7,218.0,3.0
21,7,190.0,13.0
22,7,128.0,15.0
23,7,280.0,9.0
24,7,306.0,10.0
25,7,252.0,5.0
26,7,274.0,5.0
27,7,254.0,5.0
